date,amount,type,description,category,sender,raw_message
1970-01-01 00:28:27.037547373,148.0,unknown,Uncategorized,Others,650003,"Introducing ULTIMATE SAVER PACK for smart savers like you! 
Get 15+ OTTs subscription with Airtel Xstream Play (28days), 15GB & much more as per current pack validity. Recharge with Rs148 pack today. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:25.215372538,118.0,unknown,Uncategorized,Others,650003,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.964777210,207.68,debit,Uncategorized,Others,cbssbi,Your AC XXXXX068589 Debited INR 207.68 on 11/01/24 -ECS/ACH RET CH. Avl Bal INR 0.00.-SBI
1970-01-01 00:28:29.802498329,900.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs900 on 07Mar24 by  (Ref no 443307113218)"
1970-01-01 00:28:24.523704731,65.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:26.269257434,11500.0,unknown,SHIRDI ELECTRONICS  Buy,Shopping,180008,"Mega Sale,Get cashback upto Rs 11500 on electronics at SHIRDI ELECTRONICS  Buy on No Cost EMI.T&C Bajaj Finserv  http://m.bflsms.in/K6PBbEeE"
1970-01-01 00:28:32.040337786,39.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now to enjoy Unlimited data for 1 day in Rs39. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech"
1970-01-01 00:28:30.487459579,10000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs10000 on 15Mar24 by  (Ref no 407533401241)"
1970-01-01 00:28:24.177837315,65.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:28.773770458,1100.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs1100 on 24Feb24 by  (Ref no 442142292571)"
1970-01-01 00:28:25.894890569,148.0,unknown,Uncategorized,Others,airtel,Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:31.876358133,300.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs300 on 31Mar24 by  (Ref no 409159037221)"
1970-01-01 00:28:24.889736968,295.0,debit,Uncategorized,Others,cbssbi,Your AC XXXXX068589 Debited INR 295.00 on 10/01/24 -ECS/ACH RET CH. Avl Bal INR 207.68.-SBI
1970-01-01 00:28:23.746253323,118.0,unknown,Uncategorized,Others,650003,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:25.776748646,148.0,unknown,Uncategorized,Others,airtel,Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:25.213498844,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/kCPmJz or call 00000004748 - CARS24"
1970-01-01 00:28:26.017117683,265.0,debit,your Airtel Mobile,Bills & Utilities,airtel,"Recharge of INR 265.00 is successful for your Airtel Mobile on 23-01-2024 19:08, Transaction ID 1605479441.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Would you like to refer Airtel Prepaid to your friends & family and save Rs100 on your next recharge? Click i.airtel.in/ref"
1970-01-01 00:28:27.572473661,19.0,debit,your Airtel Mobile,Bills & Utilities,airtel,"Recharge of INR 19.00 is successful for your Airtel Mobile on 10-02-2024 19:11, Transaction ID 747268934.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Would you like to refer Airtel Prepaid to your friends & family and save Rs100 on your next recharge? Click i.airtel.in/ref"
1970-01-01 00:28:25.132386144,65.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:31.945639905,705.0,unknown,Uncategorized,Others,sbiupi,"Ur 1st UPI Txn of Rs705.0 frm SBIN A/cX8589 is successful. If it's not u, visit ur branch or mail us at suXXXXXXXXX@sbi.co.in"
1970-01-01 00:28:26.345337587,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/kNgrxM or call 00000004748 - CARS24"
1970-01-01 00:28:31.600232568,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 28Mar24 by  (Ref no 408863854602)"
1970-01-01 00:28:27.599533539,148.0,unknown,Uncategorized,Others,airtel,Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:25.786398193,148.0,unknown,Uncategorized,Others,airtel,Alert!90%-:  of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:31.773735736,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 30Mar24 by  (Ref no 445661058636)"
1970-01-01 00:28:29.554805176,2000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs2000 on 04Mar24 by  (Ref no 406452661322)"
1970-01-01 00:28:27.286255538,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/kVRfT7 or call 00000004748 - CARS24"
1970-01-01 00:28:26.512584774,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:26.255406770,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:28.454390490,265.0,debit,your Airtel Mobile,Bills & Utilities,airtel,"Recharge of INR 265.00 is successful for your Airtel Mobile on 21-02-2024 00:09, Transaction ID 340703176.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Would you like to refer Airtel Prepaid to your friends & family and save Rs100 on your next recharge? Click i.airtel.in/ref"
1970-01-01 00:28:31.810612178,200.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs200 on 30Mar24 by  (Ref no 409030984367)"
1970-01-01 00:28:26.422268284,148.0,unknown,Uncategorized,Others,650003,"Introducing ULTIMATE SAVER PACK for smart savers like you! 
Get 15+ OTTs subscription with Airtel Xstream Play (28days), 15GB & much more as per current pack validity. Recharge with Rs148 pack today. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.868321485,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/kyltc4 or call 00000004748 - CARS24"
1970-01-01 00:28:25.393138323,65.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:27.112863435,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/kTC9DR or call 00000004748 - CARS24"
1970-01-01 00:28:26.856040160,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.611830802,118.0,unknown,Uncategorized,Others,650003,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:25.028115805,9.0,debit,Uncategorized,Others,airbil,"
Hi janakraj, Bill for your Airtel Mobile 0000006088 dated 12-JAN-2024 has been generated. 
Amount to be paid: Rs  9.00
Due Date:  17-JAN-2024
Previous Due: Rs  -1.00
This month's charges: Rs  10.00 (inclusive of tax)

To view your bill or to make payment, please visit https://i.airtel.in/PPBillbreakup
To understand your bill, click https://youtu.be/y1JoFufRp30
"
1970-01-01 00:28:25.384589716,3.68,debit,Uncategorized,Others,cbssbi,Your AC XXXXX068589 Debited INR 3.68 on 16/01/24 -ECS/ACH RET CH. Avl Bal INR 0.00.-SBI
1970-01-01 00:28:26.941959440,118.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:29.554826368,100.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs100 on 04Mar24 by  (Ref no 443044162087)"
1970-01-01 00:28:27.536030755,148.0,unknown,Uncategorized,Others,airtel,Alert!90%-:  of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:28.457672551,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 21Feb24 by  (Ref no 405233042331)"
1970-01-01 00:28:29.802432941,2000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs2000 on 07Mar24 by  (Ref no 406772122092)"
1970-01-01 00:28:25.914474320,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:27.207237661,118.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.267755094,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/krKl1Y or call 00000004748 - CARS24"
1970-01-01 00:28:27.719831074,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech"
1970-01-01 00:28:30.096201146,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 11Mar24 by  (Ref no 407190629483)"
1970-01-01 00:28:31.997579630,269.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs269 on 02Apr24 by  (Ref no 409361619681)"
1970-01-01 00:28:30.590135057,200.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs200 on 16Mar24 by  (Ref no 407602665246)"
1970-01-01 00:28:30.572317028,5000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs5000 on 16Mar24 by  (Ref no 407679917549)"
1970-01-01 00:28:27.543946796,3928.0,debit,Uncategorized,Others,cbssbi,"Dear Customer, Your A/C XXXXX068589 has a debit by NACH of Rs 3,928.00 on 10/02/24. Avl Bal Rs 10,119.68. Download YONO - SBI"
1970-01-01 00:28:31.773717137,1000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs1000 on 30Mar24 by  (Ref no 409076257357)"
1970-01-01 00:28:27.974800637,7500.0,credit,Uncategorized,Others,cbssbi,"Your A/C XXXXX068589 Credited INR 7,500.00 on 15/02/24 -Deposit of Cash at S5NL011857621 CDM. Avl Bal INR 8,556.68-SBI"
1970-01-01 00:28:27.617854161,148.0,unknown,Uncategorized,Others,airtel,Alert!90%-:  of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:24.294785348,50.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs50 on 03Jan24 by  (Ref no 436961508995)"
1970-01-01 00:28:27.080242105,566.32,debit,Uncategorized,Others,cbssbi,Your AC XXXXX068589 Debited INR 566.32 on 04/02/24 -ECS/ACH RET CH. Avl Bal INR 33.68.-SBI
1970-01-01 00:28:24.954194724,118.0,unknown,Uncategorized,Others,650003,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:26.476360621,20.0,debit,Uncategorized,Others,cbssbi,Your AC XXXXX068589 Debited INR 20.00 on 28/01/24 -ECS/ACH RET CH. Avl Bal INR 0.00.-SBI
1970-01-01 00:28:31.901417655,100.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs100 on 31Mar24 by  (Ref no 409175288852)"
1970-01-01 00:28:31.103437672,19.0,debit,your Airtel Mobile,Bills & Utilities,airtel,"Recharge of INR 19.00 is successful for your Airtel Mobile on 22-03-2024 16:00, Transaction ID 1142978850.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Would you like to refer Airtel Prepaid to your friends & family and save Rs100 on your next recharge? Click i.airtel.in/ref"
